"lang"
{
	"Language"		"SChinese"
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_Aghanim_Description"		"淘汰之刃将作用一小片区域内的所有单位。"
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_Lore"	    			"蒙哥可汗是战斗与狂怒的化身，胆敢与斧王为敌者只有死路一条。"
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_cast_range"		    	"施法距离："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_splash_radius_scepter"		"神杖升级溅射范围："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_base_damage"	   		"基础伤害："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_str_damage_multiplier"	"力量伤害倍数："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_move_speed_bonus"		"%斩杀后移动速度加成："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_attack_speed_bonus"		"斩杀后攻击速度加成："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_speed_radius"			"斩杀后加速范围："
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_speed_duration"			"斩杀加速持续时间："
	"DOTA_Tooltip_modifier_mjz_axe_culling_blade_boost"					"淘汰之刃"
	"DOTA_Tooltip_modifier_mjz_axe_culling_blade_boost_Description"		"斧王发出战争咆哮，提升附近所有友军的移动速度和攻击速度"    
	"DOTA_Tooltip_ability_mjz_bloodseeker_bloodrage_autocast"				    "自动施法 - 血怒"
	"DOTA_Tooltip_ability_mjz_bloodseeker_bloodrage_autocast_Description"	    ""
	"DOTA_Tooltip_ability_mjz_bloodseeker_bloodrage_autocast_Lore"	    		""
	"DOTA_Tooltip_ability_mjz_bloodseeker_bloodrage_autocast_Note0"	    		""    
	"DOTA_Tooltip_ability_mjz_bloodseeker_rupture"				    "割裂"
	"DOTA_Tooltip_ability_mjz_bloodseeker_rupture_Description"	    "伤害输出提升 %damage_increase_outgoing_pct%% 。"
	"DOTA_Tooltip_ability_mjz_bloodseeker_rupture_Lore"	    		""
	"DOTA_Tooltip_ability_mjz_bloodseeker_rupture_damage_increase_outgoing_pct"				"%伤害输出提升："
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_bloodseeker_rupture_01"					"+{s:value}% 割裂伤害"
	    
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst"				    "焦渴"
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_Description"	    "血魔能够感知到敌人的伤口中涌出的鲜血，他的移动速度和攻击速度得到提升。"
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_Lore"	    		"史德利古尔闻到血腥味就会变得无比狂热。"
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_bonus_damage"				"每层攻击力加成："
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_bonus_attack_speed"		"每层攻击速度加成："
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_bonus_movement_speed"		"%每层移动速度加成："
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_max_stacks"				"最大叠加层数："
	"DOTA_Tooltip_ability_mjz_bloodseeker_thirst_duration"					"持续时间："
	"DOTA_Tooltip_modifier_mjz_bloodseeker_thirst_buff"					"焦渴加速"
	"DOTA_Tooltip_modifier_mjz_bloodseeker_thirst_buff_Description"		"移动速度提升和攻击力均得到提升。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_bloodseeker_thirst_stacks"			"+2 焦渴叠加层数"
	    
	"DOTA_Tooltip_ability_mjz_bounty_hunter_jinada"				    "忍术"
	"DOTA_Tooltip_ability_mjz_bounty_hunter_jinada_Description"	    "赏金猎人准备好他的下次攻击，造成额外伤害并窃取若干不可靠金钱。"
	"DOTA_Tooltip_ability_mjz_bounty_hunter_jinada_Lore"	    		"对着他信赖的刀刃低语从索鲁克那里学来的魔法，刚铎瞄准对手的肌腱和关节下手，就是要让他们残废。"
	"DOTA_Tooltip_ability_mjz_bounty_hunter_jinada_Note0"	    		""
	"DOTA_Tooltip_ability_mjz_bounty_hunter_jinada_bonus_damage"		"攻击力加成："
	"DOTA_Tooltip_ability_mjz_bounty_hunter_jinada_gold_steal"			"金钱窃取："
	    
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler"				    "醉拳"
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_Description"	    "有一定概率闪避攻击并能造成致命一击。"
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_Lore"	    		"曼吉克斯赢得奥尤社的酒仙称号的同时，也确立了他在精通醉拳方面的地位。"
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_Note0"	    		""
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_dodge_chance"	    "%闪避："
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_crit_chance"	    "%致命一击几率："
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_crit_multiplier"	"%致命一击伤害："
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_duration"	   	 	"持续时间："
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_dodge_chance_active"	    "%闪避（激活）："
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_crit_chance_active"	    "%致命一击几率（激活）："
	"DOTA_Tooltip_ability_mjz_brewmaster_drunken_brawler_crit_multiplier_active"	"%致命一击伤害（激活）："
	"DOTA_Tooltip_modifier_mjz_brewmaster_drunken_brawler_active"					"醉拳"
	"DOTA_Tooltip_modifier_mjz_brewmaster_drunken_brawler_active_Description"	    "有一定概率闪避攻击并能造成致命一击。"
	
	    
	"DOTA_Tooltip_ability_mjz_bristleback_quill_spray_autocast"				    "自动施法 - 刺针扫射"
	"DOTA_Tooltip_ability_mjz_bristleback_quill_spray_autocast_Description"	    ""
	"DOTA_Tooltip_ability_mjz_bristleback_quill_spray_autocast_Lore"	    	""    
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger"							"极度饥渴"
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_Description"				"对活物体液的强烈饥渴提高了育母蜘蛛的攻击力，并使她的攻击附带吸血效果。"
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_Lore"						"大多数猎物都被她用丝茧裹了起来，作为饲料留给后代，育母蜘蛛自己则想品尝那些迷路的英雄。"
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_Note0"						"与其他吸血效果完全叠加。"
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_bonus_damage"				"攻击力加成："
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_bonus_attack_speed"			"攻击速度加成："
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_lifesteal_pct"				"%吸血百分比："
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_duration"					"持续时间："
"DOTA_Tooltip_modifier_mjz_broodmother_insatiable_hunger"					        "极度饥渴"
"DOTA_Tooltip_modifier_mjz_broodmother_insatiable_hunger_Description"		        "攻击力提升，攻击速度提升，攻击附带吸血效果。"
"DOTA_Tooltip_ability_special_bonus_unique_mjz_broodmother_insatiable_hunger"	    "+{s:value} 极度饥渴攻击力/攻击速度"
"DOTA_Tooltip_ability_mjz_broodmother_insatiable_hunger_aghanim_description"		"小蜘蛛将会同时获得技能效果。"    
"DOTA_Tooltip_ability_mjz_broodmother_spawn_spiderlings"							"孵化蜘蛛"
"DOTA_Tooltip_ability_mjz_broodmother_spawn_spiderlings_Description"				"育母蜘蛛将她的卵注入敌人体内，卵会孵化成小蜘蛛。"
"DOTA_Tooltip_ability_mjz_broodmother_spawn_spiderlings_Lore"						"布蕾克·艾拉齐娜不断抚育她的后代，即使是在战场上。新孵化的小蜘蛛很快就学会如何支援她们的母亲。"
"DOTA_Tooltip_ability_mjz_broodmother_spawn_spiderlings_spiderling_duration"		"小蜘蛛持续时间："
"DOTA_Tooltip_ability_mjz_broodmother_spawn_spiderlings_count"						"数量："
"DOTA_Tooltip_ability_special_bonus_unique_mjz_broodmother_spawn_spiderlings_count"	"+{s:value} 小蜘蛛数量"    
"DOTA_Tooltip_ability_mjz_centaur_double_edge"								"双刃剑"
"DOTA_Tooltip_ability_mjz_centaur_double_edge_Description"					"半人马战行者以猛烈的力量进行近战攻击，对目标周围单位和自身造成伤害。将基于力量值造成额外伤害。此技能无法用于自杀。"
"DOTA_Tooltip_ability_mjz_centaur_double_edge_Lore"							"在激烈的战斗中，布拉德瓦登凶猛的撞击有时候会对自己造成伤害。"
"DOTA_Tooltip_ability_mjz_centaur_double_edge_Note0"						"双刃剑对目标和自身都造成魔法伤害。"
"DOTA_Tooltip_ability_mjz_centaur_double_edge_edge_damage"					"基础伤害："
"DOTA_Tooltip_ability_mjz_centaur_double_edge_strength_damage"				"%力量伤害："
"DOTA_Tooltip_ability_mjz_centaur_double_edge_self_strength_damage"			"%自身受到的力量伤害："
"DOTA_Tooltip_ability_mjz_centaur_double_edge_radius"						"范围："
"DOTA_Tooltip_ability_special_bonus_unique_mjz_centaur_double_edge_strength"		"+{s:value}% 双刃剑力量伤害"
"DOTA_Tooltip_ability_special_bonus_unique_mjz_centaur_double_edge_radius"			"+{s:value} 双刃剑范围"    
	"DOTA_Tooltip_ability_mjz_centaur_return"				    "反击"
	"DOTA_Tooltip_ability_mjz_centaur_return_Description"	    "半人马战行者向攻击他的单位发出反击，伤害基于半人马战行者的力量值。"
	"DOTA_Tooltip_ability_mjz_centaur_return_Lore"	    		"布拉德瓦登无需回避对手的攻击；这由他那盔甲般的马皮负责。"
	"DOTA_Tooltip_ability_mjz_centaur_return_Note0"	    		"反击对幻象无效；幻象携带反击光环。"
	"DOTA_Tooltip_ability_mjz_centaur_return_return_damage"		"基础伤害："
	"DOTA_Tooltip_ability_mjz_centaur_return_strength_pct"		"%力量额外伤害："
	"DOTA_Tooltip_modifier_mjz_centaur_return_buff"					"反击"
	"DOTA_Tooltip_modifier_mjz_centaur_return_buff_Description"	    "半人马战行者向攻击他的单位发出反击，伤害基于半人马战行者的力量值。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_centaur_return_strength"		"+25% 反击力量伤害"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_centaur_return_aura"			"反击变成光环"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_centaur_return_aura_Description"		"半人马战行者附近900范围内友方单位获得反击效果；伤害基于半人马战行者的力量。"
	    
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt"						"混乱之箭"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_Description"			"对目标单位投掷一支神秘的能量箭。造成随机时间的眩晕和随机的伤害。"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_Lore"					"甚至混沌骑士自己都无法预测这不洁之力会有何种效果。"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_cast_range"			"施法距离："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_radius"				"作用范围："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_targets"				"目标数："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_stun_min"				"最短眩晕："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_stun_max"				"最长眩晕："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_damage_min"			"最低伤害："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_damage_max"			"最高伤害："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_bolt_Note0"				"眩晕持续时间和伤害值为负相关。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_chaos_knight_chaos_bolt_target"				"+{s:value} 混乱之箭目标数"    
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike"				    "混沌一击"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike_Description"	    "混沌骑士的每次攻击都有一定概率造成额外伤害，并且触发的致命一击具有%lifesteal%%%的吸血效果。"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike_Lore"	    		"混沌骑士用巨大的蛮力砸向面前的敌人，击碎最厚的盔甲。"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike_Note0"	    		"多个致命一击来源的触发几率叠加，吸血天赋与其他吸血来源加法叠加。"
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike_crit_chance"		"%触发几率："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike_crit_damage"		"%致命一击伤害："
	"DOTA_Tooltip_ability_mjz_chaos_knight_chaos_strike_lifesteal"			"%触发时吸血："
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_chaos_strike"			"+{s:value}% 混沌一击触发几率"    
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact"				    "死亡契约"
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact_Description"	    "增加生命上限及攻击力。"
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact_Lore"	    		"萨瑟雷克斯的死亡契约已经成了克林克兹的一部分，他通过杀死那些低等生物来使自己的枯骨获得新生。"
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact_bonus_damage_pct"	"%攻击力加成："
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact_bonus_health"		"生命值加成："
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact_armor_reduction"	"护甲降低："
	"DOTA_Tooltip_ability_mjz_clinkz_death_pact_duration"			"持续时间："
	"DOTA_Tooltip_modifier_mjz_clinkz_death_pact"					"死亡契约"
	"DOTA_Tooltip_modifier_mjz_clinkz_death_pact_Description"	    "增加%dMODIFIER_PROPERTY_HEALTH_BONUS%生命上限及%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%攻击力。"
	    
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact"				    "灵魂契约"
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_Description"	    "克林克兹消化掉敌方目标单位的灵魂，获得永久攻击力，提升最大生命值并使自身的攻击可以减少护甲。若敌方英雄身上拥有此护甲降低效果时阵亡，并且灵魂契约的冷却时间也会刷新。每杀死一个敌方单位，死亡契约的冷却时间减少 %cooldown_reduce% 秒。"
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_Lore"	    		"萨瑟雷克斯的灵魂契约已经成了克林克兹的一部分，他通过杀死那些低等生物来使自己的枯骨获得新生。"
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_duration"			"持续时间："
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_health_gain"			"生命值获得："
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_armor_reduction"		"护甲降低："
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_permanent_bonus"		"永久攻击力加成："
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_health"					"灵魂契约"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_health_Description"	    "最大生命值提升%dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS%点，攻击降低敌人%dMODIFIER_PROPERTY_TOOLTIP%点护甲。"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_permanent_buff"					"灵魂契约攻击力"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_permanent_buff_Description"		"灵魂契约获得的永久攻击力。"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_debuff"						"灵魂契约"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_debuff_Description"			"护甲被削弱%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%点。"    
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk"											"骨隐步"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Description"								"克林克兹在隐形状态下移动，攻击或使用技能时显形。脱离隐身效果后克林克兹获得攻击速度加成。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Lore"									"随着火焰的爆裂和烟雾的升起，骷髅弓箭手的身形遁于无形。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_aghanim_description"						"退出骨隐步时在克林克兹周围产生两个骷髅弓手。提升骨隐步的加速效果，并移除移动速度限制。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Note0"									"开启后不会打断大多数持续施法类技能和物品。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Note1"									"渐隐时间为%fade_time%秒。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_duration"								"持续时间："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_move_speed_bonus_pct"					"%移动速度提升："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_attack_speed_bonus"						"攻击速度加成："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_attack_speed_duration"					"攻击速度加成持续时间："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_scepter_skeleton_count"					"神杖升级骷髅弓手数量："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_scepter_skeleton_duration"					"神杖升级骷髅弓手持续时间："
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk"						"骨隐步"
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk_Description"			"隐身，移动速度提升%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。能够穿越单位。"
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk_strafe"							"骨隐步"
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk_strafe_Description"				"攻击速度提升%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"    
	"DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura"				"奥术光环"
	"DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_Description"	"提升地图上所有友方单位的魔法回复速度。水晶室女自身获得更高的回复速度。"
	"DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_Lore"			"低温提升了魔法精华，莉莱的出现能够让盟友更频繁的使用魔法而不必担心消耗。"
	"[hide]DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_mana_regen"		"友军魔法恢复："
	"[hide]DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_mana_regen_self"	"自身魔法恢复："
	"[hide]DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_mana_regen_pct"		"%友军魔法恢复："
	"[hide]DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_mana_regen_self_pct"	"%自身魔法恢复："
	"DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_mana_regen_total_pct"		"%友军最大魔法恢复："
	"DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_mana_regen_self_total_pct"	"%自身最大魔法恢复："
	"DOTA_Tooltip_ability_mjz_crystal_maiden_brilliance_aura_Note0"			"与其他额外魔法恢复叠加。"
	"DOTA_Tooltip_modifier_mjz_crystal_maiden_brilliance_aura_effect"				"奥术光环"
