
		//>>>>	MJZ Manta Style LVL 
		"DOTA_Tooltip_Ability_item_mjz_manta_2"	                        "Manta Style LVL 2"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_movement_speed"					"%+$move_speed"
		//<<<<
		"DOTA_Tooltip_Ability_item_mjz_manta_5"	                        "Manta Style LVL 5"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Description"							"<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Lore"									"An axe made of reflective materials that causes confusion amongst enemy ranks."
		"DOTA_Tooltip_ability_item_mjz_manta_5_Note0"									"Has a %invuln_duration% second cast time during which you are invulnerable."
		"DOTA_Tooltip_ability_item_mjz_manta_5_Note1"									"Many effects are removed upon using Manta."
		"DOTA_Tooltip_ability_item_mjz_manta_5_Note2"									"Yasha based movement speed bonuses from multiple items do not stack."
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_movement_speed"					"%+$move_speed"
		//<<<<
