
"DOTA_Tooltip_ability_item_chest_1"					"自然的馈赠NO.1"
"DOTA_Tooltip_ability_item_recipe_vambrace"	"Recipe: Vambrace"
"DOTA_Tooltip_ability_item_recipe_vampire_fangs"	"Recipe: Vampire Fangs"
"DOTA_Tooltip_ability_item_philo_stone_temp"				"Philosopher's Stone Formula"
"DOTA_Tooltip_ability_item_philo_stone_temp_Description"       "Will either become a Philosopher's Stone or a failure.\n<font color='#F2A93E'>Maximum 2 per player.</font>\n<font color='#F2A93E'>Needs to be held by a hero to be activated.</font>"	
"DOTA_Tooltip_ability_item_philo_stone_temp_bonus_gpm"                "+GPM BONUS"
"DOTA_Tooltip_ability_item_philo_stone_temp_bonus_mana"       "+$mana"	 
"DOTA_Tooltip_ability_item_philo_stone_temp_bonus_damage"       "-<font color='#e03e2e'>Attack Damage</font>"	
"DOTA_Tooltip_ability_item_philo_stone_failed"				"Failed Philosopher's Stone"
"DOTA_Tooltip_ability_item_philo_stone_failed_Description"       "You've exceeded your allotted 2 Philosopher's Stones. There's nothing left to do but sell this."	
"DOTA_Tooltip_ability_item_philo_stone_failed_Lore"					"Greed has tarnished this once promising stone."


/////////////////////////////////////////////////////////////////////////////////////////////
//Level 3 Chest
"DOTA_Tooltip_ability_item_recipe_craggy_coat"	"Recipe: Craggy Coat"
"DOTA_Tooltip_ability_item_recipe_enchanted_quiver"	"Recipe: Enchanted Quiver"
"DOTA_Tooltip_ability_item_recipe_greater_faerie_fire"	"Recipe: Greater Faerie Fire"
"DOTA_Tooltip_ability_item_recipe_helm_of_the_undying"	"Recipe: Helm of the Undying"
"DOTA_Tooltip_ability_item_recipe_mind_breaker"	"Recipe: Mind Breaker"
"DOTA_Tooltip_ability_item_mind_breaker_Description"				"<h1>被动： Nothing</h1> It doesn't do anything. Why do you think it was so cheap? Sell it."	
"DOTA_Tooltip_ability_item_recipe_orb_of_destruction"	"Recipe: Orb Of Destruction"
"DOTA_Tooltip_ability_item_recipe_paladin_sword"	"Recipe: Paladin Sword"
"DOTA_Tooltip_ability_item_recipe_pocket_tower"	"Recipe: 口袋防御塔"
"DOTA_Tooltip_ability_item_recipe_quickening_charm"	"Recipe: Quickening Charm"
"DOTA_Tooltip_ability_item_recipe_titan_sliver"			"Recipe: Titan Sliver"
"DOTA_Tooltip_ability_item_pocket_tower"				"口袋防御塔"
"DOTA_Tooltip_ability_item_pocket_tower_Description"		"<h1>Use: 防御塔</h1> Deploys a permanent tower with tremendous range but low survivability. Benefits from Nebu."
"DOTA_Tooltip_ability_item_pocket_tower_tower_damage"		"TOWER DAMAGE:"
"DOTA_Tooltip_ability_item_pocket_tower_tower_attack_time"		"TOWER ATTACK SPEED:"
"DOTA_Tooltip_ability_item_pocket_tower_tower_health"		"TOWER HEALTH:"
"DOTA_Tooltip_ability_item_pocket_tower_tower_range"		"TOWER RANGE:"
"DOTA_Tooltip_ability_item_philosophers_stone_Description"			"Increases gold income and mana, while reducing outgoing attack damage. Limited to 2 per player."	


/////////////////////////////////////////////////////////////////////////////////////////////
//Level 4 Chest
"DOTA_Tooltip_ability_item_recipe_havoc_hammer"	"Recipe: Havoc Hammer"
"DOTA_Tooltip_ability_item_recipe_illusionsts_cape"	"Recipe: Illusionsts Cape"
"DOTA_Tooltip_ability_item_recipe_spell_prism"	"Recipe: Spell Prism"
"DOTA_Tooltip_ability_item_recipe_minotaur_horn"	"Recipe: Minotaur Horn"
"DOTA_Tooltip_ability_item_recipe_ninja_gear"	"Recipe: Ninja Gear"
"DOTA_Tooltip_ability_item_recipe_spy_gadget"	"Recipe: Telescope"
"DOTA_Tooltip_ability_item_recipe_panic_button"	"Recipe: Magic Lamp"
"DOTA_Tooltip_ability_item_recipe_pocket_rax"	"Recipe: 口袋兵营（近战）"
"DOTA_Tooltip_ability_item_recipe_pocket_rax_ranged"	"Recipe: 口袋兵营（远程）"
"DOTA_Tooltip_ability_item_recipe_princes_knife"	"Recipe: Prince's Knife"
"DOTA_Tooltip_ability_item_princes_knife_Description"				"<h1>被动： Nothing</h1> It doesn't do anything. Why do you think it was so cheap? Sell it."
"DOTA_Tooltip_ability_item_recipe_witless_shako"	"Recipe: Witless Shako"

"DOTA_Tooltip_ability_item_player_unstoppable"							"大地的力量"
"DOTA_Tooltip_ability_item_player_unstoppable_Description"				"<h1>被动： 不可阻挡</h1> 根据你的生命值提升魔法伤害。 撞树立倒。 降低你 %bonus_attack_speed%的攻击速度。"
"DOTA_Tooltip_ability_item_player_unstoppable_tooltip_spell_amp_pct"			"%生命值->魔法增强："
"DOTA_Tooltip_ability_item_player_unstoppable_bonus_health_pct"			"%生命值加成："
"DOTA_Tooltip_ability_item_player_unstoppable_Note0"					"Does not work on illusions."

"DOTA_Tooltip_ability_item_pocket_rax"					"口袋兵营（近战）"
"DOTA_Tooltip_ability_item_pocket_rax_Description"		"<h1>Use: Free Militia</h1> Deploys a permanent barracks that periodically spawns melee creep to a set location. Benefits from Nebu."
"DOTA_Tooltip_ability_item_pocket_rax_interval"		"INTERVAL:"
"DOTA_Tooltip_ability_item_pocket_rax_duration"		"CREEP DURATION:"
"DOTA_Tooltip_ability_item_pocket_rax_ranged"					"口袋兵营（远程）"
"DOTA_Tooltip_ability_item_pocket_rax_ranged_Description"		"<h1>Use: Free Militia</h1> Deploys a permanent barracks that periodically spawns ranged creep a set location. Benefits from Nebu."
"DOTA_Tooltip_ability_item_pocket_rax_ranged_interval"		"INTERVAL:"
"DOTA_Tooltip_ability_item_pocket_rax_ranged_duration"		"CREEP DURATION:"
"DOTA_Tooltip_ability_custom_rax_behavior"				"Reinforcements"
"DOTA_Tooltip_ability_custom_rax_behavior_Description"	"Periodically spawning reinforcements. Casting this ability will set the waypoint for units to where your hero is standing."
"DOTA_Tooltip_ability_custom_rax_behavior_interval"		"INTERVAL:"
"DOTA_Tooltip_ability_custom_rax_behavior_duration"		"CREEP DURATION:"

"DOTA_Tooltip_Ability_item_recipe_ultimate_dagon"               "Recipe: 终极大根"
"DOTA_Tooltip_Ability_item_ultimate_dagon"					    "终极大根"
"DOTA_Tooltip_ability_item_ultimate_dagon_Description"			"<h1>主动： 能量冲击</h1> Emits a powerful burst of magical damage upon a targeted enemy unit.<br><br>伤害： %damage%<br>范围： %range_tooltip%<br>魔法消耗： %mana_cost_tooltip%"
"DOTA_Tooltip_ability_item_ultimate_dagon_Lore"					"A lesser wand that grows in power the longer it is used, it brings magic to the fingertips of the user."
"DOTA_Tooltip_ability_item_ultimate_dagon_Note0"				"Instantly kills illusions."
"DOTA_Tooltip_ability_item_ultimate_dagon_bonus_intellect"		"+$int"
"DOTA_Tooltip_ability_item_ultimate_dagon_bonus_all_stats"		"+$all"



/////////////////////////////////////////////////////////////////////////////////////////////
//Level 5 Chest
"DOTA_Tooltip_ability_item_recipe_custom_apex"			"Recipe: 极"
"DOTA_Tooltip_ability_item_recipe_custom_ballista"		"Recipe: 弩炮"
"DOTA_Tooltip_Ability_item_custom_apex"					"极"
"DOTA_Tooltip_Ability_item_custom_apex_Description"		"主属性提升 %primary_stat_percent%%%。"
"DOTA_Tooltip_Ability_item_custom_ballista"						"弩炮"
"DOTA_Tooltip_Ability_item_custom_ballista_Description"			"<h1>被动：精准</h1> 每次普通攻击都会造成 %bonus_damage% 点纯粹伤害。"
"DOTA_Tooltip_Ability_item_custom_ballista_Lore"				"It actually does work on melee."
"DOTA_Tooltip_Ability_item_custom_ballista_bonus_strength"		"+$str"
"DOTA_Tooltip_Ability_item_custom_ballista_bonus_agility"		"+$agi"
"DOTA_Tooltip_Ability_item_custom_ballista_bonus_intellect"		"+$int"
"DOTA_Tooltip_Ability_item_custom_ballista_bonus_health_regen"		"+$hp_regen"
"DOTA_Tooltip_Ability_item_custom_ballista_attack_range_bonus"		"+$attack_range"
"DOTA_Tooltip_ability_item_recipe_demonicon"	"Recipe: Demonicon"
"DOTA_Tooltip_ability_item_recipe_desolator_2"	"Recipe: Stygian Desolator"
"DOTA_Tooltip_ability_item_recipe_ex_machina"	"Recipe: 机械之心"
"DOTA_Tooltip_Ability_item_custom_ex_machina"					"机械之心"
"DOTA_Tooltip_Ability_item_custom_ex_machina_Description"		"<h1>主动：重置物品冷却时间</h1> 重置所有物品的冷却时间（刷新球除外）。"
"DOTA_Tooltip_Ability_item_custom_ex_machina_bonus_armor"		"+$armor"
"DOTA_Tooltip_Ability_item_ex_machina_Description"		"<h1>主动： Reset Item Cooldowns</h1> Reset the cooldown on all items at a tremendous cost."
"DOTA_Tooltip_ability_item_recipe_fallen_sky"	"Recipe: Fallen Sky"
"DOTA_Tooltip_Ability_item_fallen_sky_Description"                  "<h1>主动： Fallen Sky</h1> Transform into a meteor that strikes down at the target area after %land_time% seconds in a %impact_radius% AoE, stunning enemies for %stun_duration% seconds and dealing impact damage. Continues to deal damage every %burn_interval% seconds indefinitely.<BR><BR>Impact Damage: %impact_damage_units% <BR>Over Time Damage: %burn_dps_units%<BR><BR> Range: %abilitycastrange%"
"DOTA_Tooltip_ability_item_recipe_custom_fusion_rune"	"Recipe: 聚合神符"
"DOTA_Tooltip_ability_item_custom_fusion_rune"								"聚合神符"
"DOTA_Tooltip_ability_item_custom_fusion_rune_Description"					"<h1>使用：消耗</h1>向目标提供所有强化神符的加成效果，持续%duration%秒。每次使用消耗一点能量。"
"DOTA_Tooltip_ability_item_custom_fusion_rune_Note0"						"Does not benefit from cooldown reduction."
"DOTA_Tooltip_ability_item_custom_fusion_rune_Note1"						"Not refreshable."
"DOTA_Tooltip_ability_item_custom_fusion_rune_Note2"						"Illusions are under the caster's control."
"DOTA_Tooltip_ability_item_recipe_phoenix_ash"	"Recipe: Phoenix Ash"
"DOTA_Tooltip_ability_item_recipe_pirate_hat"	"Recipe: Pirate Hat"
"DOTA_Tooltip_ability_item_recipe_custom_seer_stone"	"Recipe: 先哲之石"
"DOTA_Tooltip_ability_item_recipe_trident_2"	"Recipe: Trident"


"DOTA_Tooltip_ability_item_custom_seer_stone"							"先哲之石"
"DOTA_Tooltip_ability_item_custom_seer_stone_Description"               "提升了施法距离以及白天和夜间的视野。"
"DOTA_Tooltip_ability_item_custom_seer_stone_cast_range_bonus"               "+$cast_range"
"DOTA_Tooltip_ability_item_custom_seer_stone_vision_bonus"                "+Vision Bonus"
"DOTA_Tooltip_ability_item_custom_seer_stone_bonus_mana"                "+$mana"
"DOTA_Tooltip_ability_item_custom_seer_stone_bonus_mana_regen"                "+$mana_regen"

